timestamp,temperature,humidity,pressure,altitude
2023-10-13T10:15:00,22.3,58.0,1013.2,110.5
2023-10-13T10:15:10,22.4,58.1,1013.3,110.4
2023-10-13T10:15:20,22.5,58.2,1013.4,110.3
2023-10-13T10:15:30,22.5,58.2,1013.4,110.3
2023-10-13T10:15:40,22.6,58.1,1013.3,110.4
2023-10-13T10:15:50,22.7,58.0,1013.2,110.5
2023-10-13T10:16:00,22.8,57.9,1013.1,110.6
2023-10-13T10:16:10,22.9,57.8,1013.0,110.7
2023-10-13T10:16:20,22.9,57.7,1012.9,110.8
2023-10-13T10:16:30,23.0,57.6,1012.8,110.9
2023-10-13T10:16:40,23.0,57.5,1012.7,111.0
2023-10-13T10:16:50,23.1,57.4,1012.6,111.1
2023-10-13T10:17:00,23.1,57.3,1012.5,111.2
2023-10-13T10:17:10,23.2,57.2,1012.4,111.3
2023-10-13T10:17:20,23.2,57.1,1012.3,111.4
2023-10-13T10:17:30,23.3,57.0,1012.2,111.5
2023-10-13T10:17:40,23.3,56.9,1012.1,111.6
2023-10-13T10:17:50,23.4,56.8,1012.0,111.7
2023-10-13T10:18:00,23.4,56.7,1011.9,111.8
2023-10-13T10:18:10,23.5,56.6,1011.8,111.9
2023-10-13T10:18:20,23.5,56.5,1011.7,112.0
2023-10-13T10:18:30,23.6,56.4,1011.6,112.1
2023-10-13T10:18:40,23.6,56.3,1011.5,112.2
2023-10-13T10:18:50,23.7,56.2,1011.4,112.3
2023-10-13T10:19:00,23.7,56.1,1011.3,112.4
